"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"neutral",49.9000222639677,-6.95748182990888,-1.13911937083812,0.0239201297924591,-3.23033507487348,-4.17895077055083,-3.12129777966018,-0.96732452661415,0.584973727199968,1.21660950854566,-3.14262257464105,-0.779892325726796,9.84855722288931,-1.25403990096752,-0.588427339384325,2.605141745413,0.910184470706793,-1.59961057177406,-1.11389854492312,-4.84908673829522,-2.03725884755678,0.524306612617966,-0.559158202903229,1.80104211865989,41.5768067740565,-5.72233298415203,-1.33277270954218,0.494579441657426,-0.101382697609295,-3.78628293756093,-1.60152341230911,-3.31513025879446,-0.79256638475069,3.62320745434481,0.304109688308939,2.82096251651267,9.81239242707652,-1.26741337073389,-1.33277270954217,1.44950856923758,-0.10138269760929,-3.3211727722316,-1.6015234123091,-3.026619793235,-0.792566384750653,3.82433069565416,0.304109688308955,2.97104806645917
"neutral",47.4873152013532,-7.7633270433268,-1.42467634948901,0.782325008714246,-3.69876373270433,-3.30115925778048,-3.55929624637669,-1.42008645732637,0.771642995933344,0.659650373625965,-3.52198632194716,-0.794747513183044,7.70912523362454,-2.18466133692716,-1.01331335298125,3.25684226481074,0.226137244782074,-0.52321011596675,-1.34287463058499,-4.87981344754517,-1.45674490836544,0.884577843304112,-0.656347218581585,1.08891536915702,39.4096900967125,-6.67015486224983,-1.83480062034702,1.38415519153048,-0.701357455687505,-2.81483015735487,-1.62259259005797,-3.83405183842991,-0.734731541598061,3.37913675430264,-0.051711978370111,1.61621705570915,7.64527574973253,-2.21523524883169,-1.83480062034702,2.33908431911063,-0.7013574556875,-2.34971999202554,-1.62259259005796,-3.54554137287044,-0.734731541598024,3.58025999561199,-0.0517119783700943,1.76630260565565
"neutral",47.2611725817567,-7.3375828199471,-1.50555483919381,0.0183914188596991,-3.90147640300135,-3.12042182343536,-3.89814183449653,-1.51746194149933,0.293160187264516,0.371591446650893,-3.13071705283802,-0.565158299132193,7.45160649877271,-1.51985164780977,-0.808510429918678,2.46459347257659,-0.125828882547579,-0.531524918595245,-1.59858116039679,-4.30267900963382,-2.12346778029343,0.37603121960534,-0.915800047128231,2.22887922472818,39.1135132091961,-6.08086983589313,-1.65075736034901,0.529772591480188,-1.16658978584764,-2.70091588812504,-2.04461655970914,-3.42059645831641,-1.283496718497,2.93231583975997,-0.670245693729123,2.2485349689558,7.34909886221617,-1.62595022247499,-1.65075736034901,1.48470171906034,-1.16658978584764,-2.2358057227957,-2.04461655970913,-3.13208599275695,-1.28349671849697,3.13343908106932,-0.670245693729106,2.3986205189023
"neutral",47.0796323887047,-7.38378159927526,-1.39644232868582,-0.195884576350697,-3.06536289961955,-2.72943313510337,-4.07074084370255,-1.10432310764721,1.29566273286915,1.1602421367745,-3.13460607837174,-0.901718923242213,7.32671835672677,-1.76755313301805,-0.758363400333248,1.95453544728897,0.393357386883291,0.0177654691787831,-2.22837711620428,-4.74207320064066,-1.94516268828136,1.36475016689631,-0.161030402906761,1.62541954626583,39.0198747961492,-6.32925795582676,-1.50669268605433,0.114870637674447,-0.705968846973675,-1.88801859638124,-2.19349716864717,-3.40625254019648,-0.571648117336893,4.00913183585911,0.685718941721111,1.65372189642876,7.2554604491693,-1.87433834240862,-1.50669268605432,1.0697997652546,-0.70596884697367,-1.42290843105191,-2.19349716864716,-3.11774207463702,-0.571648117336856,4.21025507716847,0.685718941721128,1.80380744637526
"calm",46.6057012983383,-6.74369505592114,-1.00692897327639,-0.217094907361097,-3.53670591772213,-4.06313544864046,-3.60993701894318,-1.0927837788856,-0.618926031444493,1.35811784788088,-3.64334632079762,-0.764860391987357,6.58568778913158,-1.09987107887104,-0.227670687541296,2.47365632592824,0.676756320628649,-0.997744278201757,-1.3781678142812,-3.6548654628358,-3.2491064493001,1.09949854005037,-1.39618539678664,1.18105483355423,38.3111395083943,-5.58538963242168,-1.0072816544251,0.427981111896953,-0.506780235057286,-3.17032389580618,-2.40082420221519,-2.58214458415132,-2.46454089906785,3.21122432727306,-0.185127888766555,1.87151824016424,6.54672516141437,-1.13047001900354,-1.00728165442509,1.3829102394771,-0.506780235057281,-2.70521373047685,-2.40082420221518,-2.29363411859186,-2.46454089906782,3.41234756858241,-0.185127888766538,2.02160379011074
"calm",51.4044787471845,-4.21934662925156,-1.50118673867057,0.258889726879661,-2.79017057822268,-4.50046588807337,-3.50182006519843,-0.157922172309977,-0.145005913952122,1.02577111142012,-3.84750119518117,-1.16293806079548,11.0941586563377,1.20813629225409,-0.645874578455707,2.8537717603578,1.75202749738523,-1.37494289507233,-2.14024175210807,-3.2984384351038,-2.67767019949627,2.07537549845076,-0.47259114468414,1.07415539867275,42.8460572743654,-3.11209370061186,-1.20019337981436,0.53221632277754,0.500888109613755,-3.21153571584192,-2.85459705542857,-1.75548156119838,-1.3126919600372,3.92675064071245,0.424878179660484,1.37876309539429,11.0816429273855,1.34282591280628,-1.20019337981436,1.48714545035769,0.500888109613761,-2.74642555051259,-2.85459705542856,-1.46697109563892,-1.31269196003716,4.1278738820218,0.424878179660501,1.52884864534079
"calm",51.4393132236352,-6.06803604905034,-1.5229003155066,0.354434911962613,-3.06118398323045,-2.55627860917633,-3.31900345376823,-0.47727862455498,0.281893935506327,1.03015140086661,-3.18825064226286,-1.61529575444106,11.2843967375804,-0.400906664546581,-0.75675507939576,2.22550285340562,0.204697647473805,-0.228863601249076,-1.20844544429384,-3.25004021829094,-2.32419250900699,1.23302159703947,0.729471702673231,1.39108933442611,42.9959369401599,-4.83280626218882,-1.37595351360721,0.482808009182024,-0.55986703756821,-1.88349684656046,-1.44661150824047,-1.97081143864451,-0.908230014912804,3.09303220542244,1.20235224131364,1.64150377727857,11.2315225931799,-0.377886648770681,-1.3759535136072,1.43773713676218,-0.559867037568204,-1.41838668123113,-1.44661150824045,-1.68230097308505,-0.908230014912767,3.29415544673179,1.20235224131366,1.79158932722507
"calm",47.1771363141447,-6.32739888357352,-1.65607847487471,0.22375344013911,-3.21222797497447,-3.13361582664897,-3.62954044503838,-0.817196213631355,0.427174958586279,1.22169402297963,-2.73768840044072,-1.42036426646712,7.3030841215422,-0.675852819371319,-0.936707879757641,2.24749833289548,0.445654869931848,-0.237783443904565,-1.98902660632444,-3.71849491384816,-2.79981565261865,0.585010669322978,0.333505662891784,1.34886884905855,38.9965628727522,-5.14633097791007,-1.58263636816738,0.36928658204259,-0.598012891247254,-2.1586830417966,-2.4400809404593,-2.62666640137853,-1.08882120807999,2.91777570900035,1.2732379149349,1.95242972064313,7.2321485257723,-0.691411364491928,-1.58263636816738,1.32421570962274,-0.598012891247248,-1.69357287646727,-2.44008094045928,-2.33815593581907,-1.08882120807995,3.1188989503097,1.27323791493492,2.10251527058963
"calm",51.8813018251485,-4.40132618066054,-1.04836321007566,0.616712622801646,-2.5911554968059,-4.18389248968425,-2.66100618501256,0.336706765567868,-0.236561515071485,1.57289883518468,-2.98620259142666,-1.47784044091164,11.5280260563274,0.870076490908621,-0.229944054217132,2.87196151273142,1.54945055449035,-1.59270256505538,-1.85160369049918,-2.39349606533201,-2.91590099357271,1.60322200623561,1.09203753919658,0.351866913217161,43.347952401783,-3.38226411567588,-0.739605269152164,0.745090808298342,0.537861419813011,-3.08373939812026,-2.47040323945756,-0.701017173052766,-0.916648740534294,2.99197083213616,2.1212629414649,1.24441131055752,11.5835380548031,1.07265549774226,-0.739605269152158,1.70001993587849,0.537861419813017,-2.61862923279093,-2.47040323945755,-0.412506707493305,-0.916648740534257,3.19309407344551,2.12126294146492,1.39449686050402
"calm",50.6630058664096,-5.98971725406991,-2.10815483418475,0.183770123460391,-3.31269838239299,-3.92486266951809,-3.37886994659219,-0.129971040334736,-0.20266702033964,1.01040426129817,-3.54904462021394,-1.27182806316708,10.7023126911732,-0.259812962351833,-1.10499955945555,2.35534687268094,0.504343426645463,-1.34051508473291,-2.53478392890285,-3.09267792265267,-2.40021416048579,2.00351365313713,0.335251706517024,-0.0381413152690352,42.3290004016873,-4.75650478761395,-1.893691531099,0.224995063760654,-0.55000508620827,-2.87485594838629,-2.78411056597208,-1.49323575399713,-0.851955824092554,3.270771967551,1.14525876118927,0.197315683647953,10.5645860547074,-0.30158517419581,-1.89369153109899,1.17992419134081,-0.550005086208264,-2.40974578305696,-2.78411056597207,-1.20472528843767,-0.851955824092517,3.47189520886035,1.14525876118928,0.347401233594456
